id,date,state_name,state_code,power_station_name,sector,utility,mode_of_transport,capacity,daily_requirement,daily_receipt,daily_consumption,req_normative_stock,normative_stock_days,indigenous_stock,import_stock,total_stock,stock_days,plf_prcnt,actual_vs_normative_stock_prcnt,is_critical,remarks
350734,01-01-2025,Andhra Pradesh,28,Damodaram Sanjeevaiah Tps,State Sector,APGENCO,Rail-Sea,2400,31.63,12.8,17.4,759.1,24,48.6,0,48.6,,49,6,Critical,SCCL to ensure supply of coal as per subgroup plan.
350735,01-01-2025,Andhra Pradesh,28,Dr. N.Tata Rao Tps,State Sector,APGENCO,Rail,2560,46.95,26.9,30.7,1126.8,24,167.3,0,167.3,,65,15,Critical,Plant has regulated coal supply due to high rake detention time.
350736,01-01-2025,Andhra Pradesh,28,Painampuram Tpp,Pvt Sector,IPP,Rail-Sea,1320,16.64,0,13.2,399.4,24,46.1,92.6,138.7,,59,16,Critical,MCL and Railways to ensure supply as per subgroup plan.
350737,01-01-2025,Andhra Pradesh,28,Rayalaseema Tps,State Sector,APGENCO,Rail,1650,26.69,23,22,640.6,24,48.3,0,48.3,,63,8,Critical,SCCL to ensure supply of coal as per subgroup plan.
350738,01-01-2025,Andhra Pradesh,28,Sgpl Tpp,Pvt Sector,IPP,Rail-Sea,1320,16.08,26.7,16.9,385.8,24,149.5,248.9,398.4,,79,55,None,None
350739,01-01-2025,Andhra Pradesh,28,Simhadri,Central Sector,NTPC,Rail,2000,30.8,8.3,24.3,739.3,24,470.4,0,470.4,,54,64,None,None
350740,01-01-2025,Andhra Pradesh,28,Simhapuri Tps,Pvt Sector,IPP,Sea,600,6.47,0.1,2.7,155.4,24,0,415.4,415.4,,39,267,None,None
350741,01-01-2025,Andhra Pradesh,28,Thamminapatnam Tps,Pvt Sector,IPP,Sea,300,3.06,0,0,73.4,24,0,1,1,,0,1,Critical,Plant to build up stock through import
350742,01-01-2025,Andhra Pradesh,28,Vizag Tpp,Pvt Sector,IPP,Rail,1040,16.12,0,5.8,387,24,14.2,15.9,30.1,,28,5,Critical,MCL to ensure supply as per subgroup plant.
350743,01-01-2025,Assam,18,Bongaigaon Tpp,Central Sector,NTPC,Rail,750,9.55,11.6,5.4,229.1,24,195.8,0,195.8,,49,85,None,None
350744,01-01-2025,Bihar,10,Barauni Tps,Central Sector,NTPC,Rail,710,10.44,7.5,7.7,250.6,24,117.4,0,117.4,,64,47,None,None
350745,01-01-2025,Bihar,10,Barh  Stps,Central Sector,NTPC,Rail,2640,37.21,46.7,24,893.1,24,488.4,0,488.4,,60,55,None,None
350746,01-01-2025,Bihar,10,Kahalgaon Tps,Central Sector,NTPC,Pithead,2340,36.76,38.6,36.9,588.1,16,592,0,592,,78,101,None,None
